easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
DE-3A-094,SN-FFT-2123,S,Cessna,King Air B200,CAE,D,Bocholt
DE-3A-096,S/N SN-FFT-2126,S,Cessna,P180 + variants,ENTROL,2,"Grenoble Isère Airport, France"
DE-3A-101A,FFT-2127,R,Not Applicable,Generic Multi Engine Turbine + variants,ENTROL,Type II MCC,Turin (LIMF)
DE-3A-103,121-60120-S-1EX,S,Not Applicable,Not Applicable + variants,ENTROL,Type II,Turin (LIMF)
DE-3A-105,SN-FFT-2197,R,Cessna,Not Applicable + variants,ENTROL,Type II,Turin (LIMF)
DE-3A-106,S/N 8126-001,R,Not Applicable,Generic Multi Engine Piston,Diamond Simulation GmbH & Co KG,Type II,Aeroporto Bologna
DE-3A-108,A11-001,R,Not Applicable,A320-200,CAE,D,Schwechat
DE-3A-111,6,R,Not Applicable,Not Applicable,Alsim,Type II MCC,Wels
DE-3A-112,S923/76-60085-C,R,Not Applicable,Citation II + variants,Alsim,Type II MCC,Wals
DE-3A-117,MPS-A207,R,Airbus,C525,AXIS Flight Training Systems GmbH,D,Neusiedl am See
DE-3A-119B,S/N25460239S1EX,R,Not Applicable,Generic Multi Engine Turbine + variants,Mechtronix,Type II MCC,Airport Zilina (LZZI)
DE-3A-120,SIMDA42NG005E17,R,Not Applicable,Generic Multi Engine Piston + variants,Mechtronix,Type II,Airport Zilina (LZZI)
DE-3A-120,SIMDA42NG005E17,R,Not Applicable,AW139,Leonardo Spa Helicopter,3,Pratica di Mare
DE-3A-121,SIMDA42NG006E17,R,Not Applicable,ATR 72 + variants,AXIS Flight Training Systems GmbH,2,Pratica di Mare
DE-3A-123,264-60249-C-3EX,R,ELITE,B737-800 + variants,CAE,D,Dublin
DE-3A-124,264-60249-C-3EX,R,ELITE,Generic Multi Engine Turbine + variants,Multi Pilot Simulations BV,Type II MCC,Dublin
DE-3A-125,S/N MSN0001,R,Not Applicable,B737-800 + variants,Multi Pilot Simulations BV,1,Dublin
DE-3A-127,DSIM-CONVNG-003,R,Not Applicable,A320-200,CAE,D,Dublin
DE-3A-127,DSIM-CONVNG-003,R,Not Applicable,B737-800 + variants,CAE,D,Krakow
DE-3A-128,DSIM-CONVNG-003,R,Not Applicable,B737-800 + variants,CAE,D,Krakow
DE-3A-128,DSIM-CONVNG-003,R,Not Applicable,Generic Multi Engine Piston + variants,ENTROL,Type II,"Luqa, Malta"
DE-3A-129,S/N AL20-07,R,Not Applicable,DHC8-400,CAE,D,Schwechat
